HA	                      DEC	               HA_PNT	        DEC_PNT
359.8530427327059	49.36184149234271	359.8519176967054	49.361391423359585
359.05954480923975	49.36207248006128	359.0575030825711	49.36128902051017
358.6467350637908	48.57567696971334	358.64023462355163	48.575198809959886
358.74256073908873	47.99522974838695	358.7329768954252	47.99364028693149
359.3017866600755	47.54428301345832	359.29074415598086	47.54451015360522
0.1277384323365709	47.37807684850538	0.11848794709345611	47.376598520177566
0.978417022132362	47.54590200873345	0.9680831196005784	47.54449028274771
1.513008439633495	47.99496355038474	1.5038412941393062	47.99356855392464
1.6014787984936447	48.57588640434903	1.5964368918475316	48.57501942885753
1.1810422456073297	49.09160925256674	1.1790005344985275	49.090936901376075
0.38875972951871063	49.36177703912185	0.38875986972078636	49.36082703558582
3.750518141519251	59.1596294789197	3.821565921852425	59.1605899498525
13.63987029239047	55.584365881513264	13.67995755988602	55.58525717659328
16.809514360796527	49.47711660328281	16.810847768313636	49.4775111250829
14.22558568967878	43.341045651398765	14.19695864311791	43.339416388343054
8.04930873275714	38.95865873261844	8.005598064634114	38.95547313730974
0.17210359435841838	37.379847812757696	0.1190183654139787	37.375894992542584
346.0305000277368	43.338101163226746	346.0404585386524	43.33752958202501
343.3951429734482	49.47546038963101	343.42947649979146	49.4749683777484
346.48658495697066	55.58161395448096	346.5580020398752	55.582786052223405
356.2979840660949	59.15564136304089	356.4098206080258	59.15930000916301
349.97181002541475	68.78821315149668	350.2092281695994	68.79399457316286
330.66831545777933	61.36912418835013	330.7857251643411	61.37183330301467
327.685484789994	50.543034570107835	327.7202745083555	50.54458685313586
332.8904354610836	40.193814889732394	332.8841854657688	40.195781118473455
342.28540218501917	32.24527703947463	342.26040233890933	32.247792411100036
353.94046170097647	27.928348979624342	353.9143779901247	27.93186448214791
18.016735183061826	32.24646360321405	18.007442890601055	32.24936879527854
27.354049043651628	40.19589701600539	27.35384046550041	40.19861372528453
32.49335838734379	50.54292153229029	32.51577631090896	50.54850063720966
29.354145582747208	61.36974335390742	29.444903738159212	61.37569944576187
9.852793157271037	68.78744311688668	10.020715428300264	68.79474595630776
24.841641861884625	77.85196638065833	25.280247132387842	77.86693453714925
50.154147563517654	65.36292633440938	50.184438024429255	65.38476683311194
48.75864374911208	50.902647415134375	48.72155408214218	50.92118494516333
40.570440926671324	37.64381868796034	40.51664416503286	37.65843900341238
29.027020050264355	26.910908038709202	28.975225384753116	26.92113969866633
15.231355847015834	19.846085367717453	15.182729502674306	19.853511720327994
0.171907441284759	17.369924854317834	0.11940755314765283	17.374945553438188
345.11378155830215	19.852115704007964	345.057366693067	19.85251400760942
331.3097472049705	26.918192415426205	331.26549974760354	26.91867417526263
319.74813663869196	37.65074992087032	319.7246150997475	37.65398209983411
311.47258436670074	50.90498542972218	311.51906106658237	50.91463661734326
309.8349545664374	65.36550469979636	310.0512107350024	65.37685251140923
334.19224241369284	77.84198936914348	334.92748383037303	77.8615601600342
277.5958431015211	83.32632350243114	279.2989868371896	83.36832822978825
284.4260346147403	67.50948283666168	284.70760673726335	67.5459874837724
293.7536513566301	52.27782234330215	293.8137494140296	52.31168717260478
304.224502595627	38.15916532784573	304.1999208615391	38.19235635681954
316.0388972165332	25.79738940706609	315.9802515343191	25.828363309089582
329.40800735276895	15.982999496923162	329.341379796757	16.008690886782
344.3740547690856	9.58859765716318	344.3056828894123	9.608917892494889
44.33021399948933	25.823025568341865	44.26612758411261	25.831278929418676
56.11859069802699	38.183031954675606	56.042709477971584	38.19730648270705
66.51315459565984	52.297412363849055	66.42876764717613	52.31874713496856
75.6118893717815	67.52050680655475	75.5342371538103	67.55478604453049
80.74430767971722	83.32809305471696	80.93124461156094	83.37802916655475
139.2314830699853	78.1921275500038	139.04469492956432	78.28413315122364
102.73497003895525	66.52524196671949	102.5458745461672	66.61186100329043
50.02609486285235	17.04437491353514	49.9428408223697	17.09056263361708
37.12550173072634	7.93323350494909	37.07129242262516	7.9674518800849015
23.043864546159284	1.3184043024054706	23.004656745041473	1.338872792656221
7.919211538677189	-2.1832131469427845	7.882296358442886	-2.1750422308716355
258.03452570499223	66.5419604033262	258.24868177254695	66.58727684918316
221.15860338769693	78.18859990701537	221.90807555399724	78.26959045168397
205.5286231757285	69.16609337473803	205.7229919075017	69.26013099976991
